id,name,now_cost,position,team,ep_next,points_per_game_rank,selected_rank_type,influence,saves_per_90,goals_conceded_per_90,points_per_game_rank_type,web_name,creativity_rank_type,in_dreamteam,ict_index_rank_type,transfers_out_event,threat,bonus,red_cards,dreamteam_count,form_rank,influence_rank_type,influence_rank,region,form_rank_type,transfers_in_event,assists,selected_by_percent,value_season,expected_goals,clean_sheets,corners_and_indirect_freekicks_order,expected_assists_per_90,cost_change_event_fall,creativity,goals_scored,value_form,expected_assists,penalties_missed,form,chance_of_playing_next_round,event_points,clean_sheets_per_90,transfers_out,now_cost_rank,now_cost_rank_type,ict_index_rank,goals_conceded,expected_goals_conceded,direct_freekicks_order,ep_this,starts_per_90,expected_goals_conceded_per_90,expected_goal_involvements_per_90,expected_goals_per_90,ict_index,status,threat_rank,news_added,creativity_rank,points_per_game,chance_of_playing_this_round,cost_change_event,bps,starts,transfers_in,selected_rank,saves,yellow_cards,total_points,news,penalties_order,cost_change_start,own_goals,cost_change_start_fall,minutes,expected_goal_involvements,penalties_saved,threat_rank_type
1,Fábio Ferreira Vieira,54,MID,Arsenal,0.0,652,274,0.0,0.0,0.0,297,Fábio Vieira,296,False,297,35,0.0,0,0,0,644,296,650,,292,0,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,0.0,0,0.0,2649,137,81,652,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,u,647,2024-08-29T11:06:25.241953Z,649,0.0,0.0,0,0,0,439,619,0,0,0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,,-1,0,1,0,0.00,0,295
2,Gabriel Fernando de Jesus,68,FWD,Arsenal,1.7,415,38,14.0,0.0,2.31,45,G.Jesus,24,False,29,4084,33.0,0,0,0,303,28,347,30.0,32,4073,0,1.0,0.4,0.49,0,,0.07,0,32.3,0,0.1,0.06,0,0.7,100.0,1,0.0,198557,33,14,281,2,1.29,,2.2,1.15,1.49,0.64,0.57,7.9,a,185,2024-08-25T11:00:05.312580Z,216,0.6,100.0,0,18,1,46658,203,0,2,3,,,-2,0,2,78,0.55,0,34
3,Gabriel dos Santos Magalhães,62,DEF,Arsenal,4.3,21,4,194.8,0.0,0.86,2,Gabriel,51,True,4,35709,165.0,4,0,1,87,4,19,30.0,23,104345,0,27.4,6.3,1.47,3,,0.02,0,36.6,2,0.5,0.15,0,3.3,,2,0.43,485444,68,3,39,6,7.45,,4.8,1.0,1.06,0.23,0.21,39.6,a,31,,199,5.6,,0,131,7,1881232,11,0,1,39,,,2,0,-2,630,1.62,0,1
4,Kai Havertz,83,FWD,Arsenal,4.7,18,3,209.2,0.0,0.86,6,Havertz,6,False,2,86192,326.0,7,0,1,35,3,16,80.0,10,82549,1,20.4,4.8,4.29,3,,0.03,-1,83.8,4,0.6,0.20,0,5.3,75.0,8,0.43,1231150,10,4,9,6,7.45,,6.8,1.0,1.06,0.64,0.61,61.9,d,4,2024-10-07T17:00:06.956493Z,98,5.7,,1,156,7,1864541,16,0,0,40,Knee injury - 75% chance of playing,3.0,3,0,-3,630,4.49,0,2
5,Karl Hein,40,GKP,Arsenal,0.0,472,66,0.0,0.0,0.0,53,Hein,33,False,53,98,0.0,0,0,0,404,53,465,,47,0,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,0.0,0,0.0,3268,630,65,469,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,u,406,2024-08-14T08:31:46.556082Z,449,0.0,0.0,0,0,0,0,538,0,0,0,Loaned to Real Valladolid,,0,0,0,0,0.00,0,27
6,Jurriën Timber,55,DEF,Arsenal,2.2,102,56,87.2,0.0,0.8,28,J.Timber,14,False,32,21526,32.0,0,0,0,158,62,158,152.0,52,1663,1,1.8,3.5,0.28,2,,0.03,0,100.0,0,0.4,0.17,0,2.0,75.0,0,0.4,130193,123,13,133,4,5.56,,2.6,1.0,1.12,0.09,0.06,21.8,d,187,2024-10-04T13:30:05.569185Z,70,3.2,75.0,0,77,5,209165,151,0,2,19,Muscle injury - 75% chance of playing,,0,0,0,448,0.45,0,45
7,Jorge Luiz Frello Filho,48,MID,Arsenal,1.7,212,111,4.4,0.0,0.6,89,Jorginho,152,False,183,1148,1.0,0,0,0,272,195,389,106.0,134,821,0,0.3,0.8,0.04,1,,0.08,1,21.3,0,0.1,0.14,0,0.7,,2,0.6,29038,307,205,360,1,1.06,,2.2,1.2,0.64,0.1,0.02,2.7,a,357,,249,2.0,,-1,17,2,16768,325,0,1,4,,,-2,0,2,150,0.18,0,201
8,Jakub Kiwior,48,DEF,Arsenal,1.7,357,144,7.6,0.0,5.29,123,Kiwior,135,False,134,668,0.0,0,0,0,278,130,375,172.0,91,346,0,0.2,0.4,0.00,0,,0.0,0,0.3,0,0.1,0.00,0,0.7,,1,0.0,13689,329,38,405,1,1.03,,2.2,0.0,5.45,0.0,0.0,0.8,a,592,,389,1.0,,0,2,0,5518,394,0,0,2,,,-2,0,2,17,0.00,0,214
9,Gabriel Martinelli Silva,70,MID,Arsenal,9.0,33,24,155.8,0.0,0.62,16,Martinelli,30,False,20,17893,167.0,3,0,1,6,16,47,30.0,5,50040,2,4.7,4.9,1.05,3,,0.29,0,146.6,2,1.1,1.39,0,8.0,,6,0.62,236961,26,15,27,3,4.98,,9.5,1.03,1.02,0.51,0.22,46.8,a,30,,35,4.9,,0,129,5,397570,83,0,0,34,,,0,0,0,438,2.44,0,20
12,Ethan Nwaneri,45,MID,Arsenal,1.3,340,102,14.4,0.0,0.0,162,Nwaneri,180,False,166,2191,15.0,0,0,0,320,165,343,241.0,160,1102,0,0.3,0.4,0.02,0,,1.6,0,11.4,0,0.1,0.16,0,0.3,,0,0.0,23896,443,264,333,0,0.09,,1.8,0.0,0.9,1.8,0.2,4.1,a,235,,301,1.0,,0,11,0,30742,309,0,0,2,,,0,0,0,9,0.18,0,134
13,Martin Ødegaard,82,MID,Arsenal,0.0,181,31,34.4,0.0,0.36,79,Ødegaard,80,False,95,16968,60.0,0,0,0,665,129,282,161.0,302,248,0,3.5,0.9,0.46,2,3.0,0.26,0,75.0,0,0.0,0.74,0,0.0,0.0,0,0.71,1313456,12,8,184,1,2.93,1.0,0.0,1.07,1.04,0.42,0.16,17.0,i,115,2024-09-10T00:30:06.311550Z,109,2.3,0.0,0,29,3,99363,98,0,1,7,Ankle injury - Unknown return date,2.0,-3,0,3,253,1.20,0,72
15,David Raya Martin,56,GKP,Arsenal,3.3,27,1,212.6,3.57,0.86,5,Raya,70,False,5,45958,0.0,6,0,1,141,5,13,200.0,15,68776,0,32.1,6.4,0.00,3,,0.0,0,0.0,0,0.4,0.01,0,2.3,100.0,2,0.43,967296,105,1,144,6,7.45,,3.8,1.0,1.06,0.0,0.0,21.3,a,655,2024-09-25T21:30:06.211210Z,657,5.1,100.0,0,124,7,1552712,6,25,1,36,,,1,0,-1,630,0.01,0,70
16,Declan Rice,63,MID,Arsenal,2.7,291,37,72.8,0.0,1.1,147,Rice,42,False,64,10704,67.0,0,1,0,188,73,184,241.0,90,6051,0,2.9,1.3,0.39,2,2.0,0.11,0,111.9,0,0.3,0.62,0,1.7,100.0,2,0.37,455436,56,35,109,6,4.81,2.0,3.2,1.1,0.88,0.18,0.07,24.6,a,105,2024-08-31T21:00:04.536499Z,54,1.3,100.0,0,56,6,97388,109,0,2,8,,,-2,0,2,492,1.01,0,64
17,Bukayo Saka,101,MID,Arsenal,6.5,6,3,295.2,0.0,0.8,4,Saka,1,True,1,56218,341.0,8,0,2,9,2,3,241.0,6,201732,7,34.7,5.3,2.00,3,1.0,0.5,0,378.4,2,0.8,3.15,0,7.7,75.0,16,0.48,1628858,4,3,1,5,5.62,,9.2,1.11,0.89,0.82,0.32,101.4,d,3,2024-10-12T11:00:07.105879Z,1,7.7,100.0,0,232,7,1982368,4,0,1,54,Leg injury - 75% chance of playing,1.0,1,0,-1,566,5.15,0,2
18,William Saliba,60,DEF,Arsenal,2.0,107,1,119.4,0.0,0.86,30,Saliba,96,False,74,78912,4.0,0,0,0,253,37,103,73.0,78,23131,0,32.1,3.7,0.00,3,,0.01,0,9.6,0,0.2,0.07,0,1.0,,2,0.43,1441540,81,6,222,6,7.45,,2.5,1.0,1.06,0.01,0.0,13.4,a,326,,316,3.1,,0,103,7,647033,7,0,2,22,,,0,0,0,630,0.07,0,103
20,Thomas Partey,50,MID,Arsenal,2.7,92,55,141.2,0.0,0.88,38,Thomas,62,False,57,9793,28.0,3,0,0,177,23,70,81.0,83,3178,0,1.4,4.6,0.27,3,,0.05,0,93.4,1,0.3,0.37,0,1.7,,2,0.44,126982,197,124,95,6,7.41,,3.2,1.02,1.08,0.09,0.04,26.4,a,196,,80,3.3,,0,119,7,215459,177,0,2,23,,,0,0,0,617,0.64,0,113
21,Kieran Tierney,44,DEF,Arsenal,0.0,523,198,0.0,0.0,0.0,196,Tierney,196,False,197,91,0.0,0,0,0,474,197,515,243.0,187,41,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,0.0,0,0.0,3836,511,114,519,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,i,471,2024-08-12T14:30:04.394338Z,502,0.0,0.0,0,0,0,430,584,0,0,0,Hamstring injury - Unknown return date,,-1,0,1,0,0.00,0,184
22,Tomiyasu Takehiro,48,DEF,Arsenal,1.3,355,187,0.4,0.0,0.0,122,Tomiyasu,134,False,133,119,9.0,0,0,0,328,138,415,108.0,107,485,0,0.0,0.2,0.18,0,,0.0,0,0.3,0,0.1,0.00,0,0.3,100.0,1,0.0,5937,323,37,400,0,0.04,,1.4,0.0,0.6,2.7,2.7,1.0,a,275,2024-08-12T14:30:04.404182Z,388,1.0,75.0,0,2,0,912,528,0,0,1,,,-2,0,2,6,0.18,0,87
23,Leandro Trossard,69,MID,Arsenal,4.7,99,38,111.8,0.0,1.31,44,Trossard,44,False,38,20232,125.0,3,1,1,78,40,115,21.0,38,12529,1,2.8,3.3,1.45,1,4.0,0.08,0,111.7,2,0.5,0.32,0,3.7,,1,0.26,203670,29,16,57,5,3.10,,5.2,1.05,0.81,0.46,0.38,34.6,a,51,,56,3.3,,0,87,4,252598,112,0,0,23,,,-1,0,1,344,1.77,0,29
24,Benjamin White,63,DEF,Arsenal,1.0,49,31,62.6,0.0,0.44,7,White,94,False,84,60833,17.0,0,0,0,352,78,206,241.0,109,389,0,4.8,3.3,0.11,3,,0.02,1,10.9,0,0.0,0.09,0,0.3,75.0,0,0.67,661921,55,2,262,2,5.88,,1.4,0.89,1.31,0.04,0.02,9.1,d,230,2024-10-02T00:30:05.462303Z,309,4.2,75.0,-1,79,4,113156,81,0,0,21,Groin Injury - 75% chance of playing,,-2,0,2,405,0.20,0,63
25,Oleksandr Zinchenko,48,DEF,Arsenal,0.5,80,69,7.2,0.0,0.0,22,Zinchenko,104,False,124,6502,6.0,0,0,0,584,131,380,225.0,214,72,0,1.1,1.5,0.00,1,,0.05,0,4.9,0,0.0,0.04,0,0.0,50.0,0,1.15,267283,321,35,380,0,0.60,,0.0,1.15,0.69,0.05,0.0,1.8,d,305,2024-09-15T23:00:06.018330Z,332,3.5,0.0,0,25,1,73932,188,0,0,7,Calf injury - 50% chance of playing,,-2,0,2,78,0.04,0,98
73,Norberto Murara Neto,43,GKP,Arsenal,0.0,76,26,77.8,5.5,1.0,10,Neto,40,False,21,9411,0.0,0,0,0,442,21,175,30.0,54,380,0,1.3,1.6,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,0.0,0,0.0,187067,550,37,282,2,2.91,,1.5,1.0,1.46,0.0,0.0,7.8,n,444,2024-10-05T17:30:06.760449Z,481,3.5,,0,30,2,78714,180,11,0,7,Ineligible to face his parent club on 19/10. - Expected back 27 Oct,,-2,0,2,180,0.00,0,34
186,Raheem Sterling,67,MID,Arsenal,1.7,399,63,4.8,0.0,1.06,204,Sterling,172,False,156,3475,35.0,0,0,0,302,193,387,241.0,158,1222,0,1.0,0.4,0.33,0,,0.05,0,15.1,0,0.1,0.05,0,0.7,,1,0.0,123289,38,20,311,1,0.45,,2.2,1.06,0.48,0.4,0.35,5.5,a,177,,283,1.0,,0,8,1,39721,192,0,0,3,,,-3,0,3,85,0.38,0,104
578,Riccardo Calafiori,58,DEF,Arsenal,4.7,159,47,92.6,0.0,1.22,47,Calafiori,54,False,26,8552,100.0,1,0,1,76,58,150,106.0,17,15924,0,2.3,2.2,0.50,0,,0.12,0,35.6,1,0.6,0.40,0,3.7,100.0,2,0.0,184462,94,8,123,4,3.15,,5.2,0.92,0.96,0.27,0.15,22.8,a,65,2024-09-08T23:00:07.138595Z,205,2.6,100.0,0,48,3,137196,127,0,1,13,,,-2,0,2,294,0.90,0,8
597,Myles Lewis-Skelly,45,MID,Arsenal,1.0,585,186,0.0,0.0,90.0,252,Lewis-Skelly,251,False,249,382,0.0,0,0,0,546,246,577,241.0,225,285,0,0.1,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,,0,0.0,4562,442,263,581,1,0.49,,1.5,0.0,44.1,0.0,0.0,0.0,a,554,,574,0.0,,0,0,0,5726,488,0,1,0,,,0,0,0,1,0.00,0,240
633,Mikel Merino,60,MID,Arsenal,1.3,394,260,19.6,0.0,0.0,200,Merino,179,False,170,214,2.0,0,0,0,351,149,313,200.0,183,459,0,0.0,0.2,0.00,0,,0.09,0,11.9,0,0.0,0.03,0,0.3,100.0,1,0.0,1833,79,52,342,0,0.33,,1.8,0.0,1.02,0.09,0.0,3.4,a,351,2024-08-30T13:30:05.886390Z,297,1.0,100.0,0,8,0,2797,599,0,0,1,,,0,0,0,29,0.03,0,197
638,Salah-Eddine Oulad M'hand,45,MID,Arsenal,1.0,584,273,0.0,0.0,0.0,251,Oulad M'hand,250,False,248,95,0.0,0,0,0,545,245,576,152.0,224,87,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,,0,0.0,803,441,262,580,0,0.00,,1.5,0.0,0.0,0.0,0.0,0.0,a,553,,573,0.0,,0,0,0,1436,618,0,0,0,,,0,0,0,0,0.00,0,239
639,Tommy Setford,45,GKP,Arsenal,1.0,599,68,0.0,0.0,0.0,69,Setford,61,False,69,180,0.0,0,0,0,563,69,591,241.0,69,143,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,,0,0.0,1140,464,20,595,0,0.00,,1.5,0.0,0.0,0.0,0.0,0.0,a,569,,588,0.0,,0,0,0,1572,577,0,0,0,,,0,0,0,0,0.00,0,59
657,Maldini Kacurri,40,DEF,Arsenal,1.0,500,184,0.0,0.0,0.0,179,Kacurri,180,False,180,532,0.0,0,0,0,434,180,492,2.0,158,549,0,0.1,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,,0,0.0,2259,662,215,496,0,0.00,,1.5,0.0,0.0,0.0,0.0,0.0,a,436,,476,0.0,,0,0,0,5563,510,0,0,0,,,0,0,0,0,0.00,0,161
658,Ayden Heaven,40,DEF,Arsenal,1.0,502,191,0.0,0.0,0.0,181,Heaven,182,False,182,362,0.0,0,0,0,436,182,494,241.0,160,343,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,,0,0.0,1454,664,217,498,0,0.00,,1.5,0.0,0.0,0.0,0.0,0.0,a,438,,478,0.0,,0,0,0,3384,546,0,0,0,,,0,0,0,0,0.00,0,163
659,Ismeal Kabia,45,MID,Arsenal,1.0,609,277,0.0,0.0,0.0,271,Kabia,270,False,268,113,0.0,0,0,0,573,265,601,152.0,246,132,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,,0,0.0,485,477,290,605,0,0.00,,1.5,0.0,0.0,0.0,0.0,0.0,a,579,,598,0.0,,0,0,0,1099,627,0,0,0,,,0,0,0,0,0.00,0,260
662,Josh Nichols,40,DEF,Arsenal,1.0,481,202,0.0,0.0,0.0,162,Nichols,163,False,163,175,0.0,0,0,0,413,163,473,241.0,139,348,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,,0,0.0,296,640,195,477,0,0.00,,1.5,0.0,0.0,0.0,0.0,0.0,a,415,,457,0.0,,0,0,0,1196,603,0,0,0,,,0,0,0,0,0.00,0,142
665,Nathan Butler-Oyedeji,45,FWD,Arsenal,2.0,562,66,0.0,0.0,0.0,49,Butler-Oyedeji,46,False,47,613,0.0,0,0,0,522,46,554,241.0,41,4597,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,,0,0.0,613,411,66,558,0,0.00,,2.5,0.0,0.0,0.0,0.0,0.0,a,527,,549,0.0,,0,0,0,4597,514,0,0,0,,,0,0,0,0,0.00,0,44
28,Leon Bailey,63,MID,Aston Villa,3.0,192,62,37.8,0.0,1.03,85,Bailey,61,False,86,5669,59.0,0,0,0,107,125,275,107.0,51,2031,1,1.1,2.1,0.35,1,3.0,0.28,1,93.5,0,0.5,1.08,0,3.0,100.0,3,0.26,350751,58,37,161,4,3.06,4.0,2.2,1.29,0.79,0.37,0.09,18.9,a,117,2024-10-04T14:00:05.587137Z,79,2.2,75.0,-1,46,5,101864,190,0,1,13,,,-2,0,2,348,1.43,0,73
29,Ross Barkley,52,MID,Aston Villa,1.0,272,91,45.8,0.0,0.85,131,Barkley,104,False,116,1513,21.0,0,0,0,244,106,243,241.0,123,1020,1,0.4,1.7,0.12,1,,0.08,0,53.7,0,0.2,0.18,0,1.0,,2,0.43,58081,172,106,239,2,1.48,,1.0,0.43,0.63,0.13,0.05,12.0,a,215,,150,1.5,,0,34,1,12229,279,0,2,9,,,-3,0,3,211,0.30,0,124
30,Enzo Barrenechea,49,MID,Aston Villa,0.0,630,250,0.0,0.0,0.0,282,Barrenechea,281,False,282,65,0.0,0,0,0,610,280,625,,269,0,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,0.0,0,0.0,4853,298,198,628,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,u,614,2024-08-31T06:33:47.934620Z,620,0.0,0.0,0,0,0,872,585,0,0,0,Loaned to Valencia CF,,-1,0,1,0,0.00,0,279
31,Emiliano Buendía Stati,53,MID,Aston Villa,0.7,382,162,0.8,0.0,0.0,192,Buendia,186,False,202,466,3.0,0,0,0,290,206,414,10.0,149,298,0,0.1,0.6,0.09,0,,0.07,0,6.6,0,0.1,0.01,0,0.7,,0,0.0,10452,159,94,402,0,0.16,,0.7,0.0,1.11,0.69,0.62,1.0,a,332,,324,1.0,,0,8,0,4140,447,0,0,3,,,-2,0,2,13,0.10,0,186
32,Matty Cash,44,DEF,Aston Villa,2.0,112,66,17.0,0.0,0.48,32,Cash,81,False,108,1622,9.0,0,0,0,146,119,328,172.0,47,5171,0,1.2,2.0,0.03,1,,0.01,0,15.4,0,0.5,0.02,0,2.0,100.0,6,0.48,238791,513,115,332,1,2.05,,2.0,1.45,0.99,0.02,0.01,4.1,a,272,2024-08-24T21:30:05.205042Z,279,3.0,100.0,0,32,3,46168,182,0,0,9,,,-1,0,1,186,0.05,0,85
33,Leander Dendoncker,45,MID,Aston Villa,0.0,545,95,0.0,0.0,0.0,223,Dendoncker,222,False,220,1885,0.0,0,0,0,503,217,537,,194,0,0,0.4,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,0.0,0,0.0,76012,366,229,541,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,u,507,2024-09-02T10:45:36.198316Z,531,0.0,0.0,0,0,0,18187,292,0,0,0,On loan to Anderlecht for the rest of the season,,0,0,0,0,0.00,0,210
34,Moussa Diaby,65,MID,Aston Villa,0.0,663,261,0.0,0.0,0.0,303,Diaby,303,False,303,29,0.0,0,0,0,659,303,662,,301,0,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,0.0,0,0.0,3190,46,28,663,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,u,663,2024-07-26T08:50:40.300928Z,663,0.0,0.0,0,0,0,0,600,0,0,0,Permanent transfer to Al Ittihad,,0,0,0,0,0.00,0,303
35,Diego Carlos Santos Silva,45,DEF,Aston Villa,3.0,115,99,44.0,0.0,1.05,35,Diego Carlos,106,False,103,1081,0.0,0,0,0,93,91,251,30.0,25,4132,0,0.4,2.0,0.00,1,,0.01,0,4.4,0,0.7,0.03,0,3.0,100.0,6,0.35,45092,370,59,320,3,2.07,,3.0,0.7,0.72,0.01,0.0,4.9,a,509,2024-09-25T21:30:06.256588Z,335,3.0,100.0,0,36,2,19783,270,0,0,9,,,0,0,0,258,0.03,0,200
36,Lucas Digne,46,DEF,Aston Villa,3.0,83,19,131.4,0.0,1.39,24,Digne,9,False,21,14174,3.0,4,0,1,94,27,84,73.0,26,28948,2,7.6,5.2,0.05,1,4.0,0.18,0,119.1,0,0.7,1.05,0,3.0,,8,0.17,321789,345,46,100,8,5.05,2.0,3.0,1.22,0.88,0.19,0.01,25.4,a,330,,50,3.4,,0,105,7,841037,55,0,1,24,,,1,0,-1,518,1.10,0,105
37,Lewis Dobbin,50,MID,Aston Villa,0.0,639,299,0.0,0.0,0.0,289,Dobbin,288,False,289,5,0.0,0,0,0,624,287,635,,280,0,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,0.0,0,0.0,247,229,148,638,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,u,630,2024-08-07T08:21:33.016106Z,634,0.0,0.0,0,0,0,0,659,0,0,0,Permanent transfer to West Bromwich Albion,,0,0,0,0,0.00,0,287
38,Jhon Durán,62,FWD,Aston Villa,2.3,60,11,142.4,0.0,1.96,15,Duran,27,False,17,47293,114.0,5,0,0,142,9,69,48.0,17,43513,0,6.6,4.4,2.07,0,,0.08,0,21.5,4,0.4,0.17,0,2.3,,1,0.0,277010,73,21,85,4,3.09,,2.3,0.0,1.51,1.09,1.01,27.9,a,57,,247,3.9,,0,120,0,875813,60,0,1,27,,,2,0,-2,184,2.24,0,20
39,Joe Gauci,40,GKP,Aston Villa,0.0,471,28,0.0,0.0,0.0,52,Gauci,32,False,52,1534,0.0,0,0,0,403,52,464,13.0,46,1744,0,0.9,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,,0,0.0,30573,629,64,468,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,a,405,,448,0.0,,0,0,0,51558,207,0,0,0,,,0,0,0,0,0.00,0,26
40,Kortney Hause,40,DEF,Aston Villa,0.0,441,81,0.0,0.0,0.0,142,Hause,142,False,142,1597,0.0,0,0,0,370,142,432,241.0,116,800,0,0.6,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,,0,0.0,32777,589,165,436,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,a,371,,415,0.0,,0,0,0,30520,234,0,0,0,,,0,0,0,0,0.00,0,119
41,Samuel Iling-Junior,54,MID,Aston Villa,0.0,654,245,0.0,0.0,0.0,298,Iling Jr,297,False,298,59,0.0,0,0,0,646,297,652,,293,0,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,0.0,0,0.0,6350,140,82,654,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,u,649,2024-08-29T11:07:04.555253Z,651,0.0,0.0,0,0,0,342,578,0,0,0,Season long loan to Bologna,,-1,0,1,0,0.00,0,296
42,Boubacar Kamara,50,MID,Aston Villa,0.0,633,291,0.0,0.0,0.0,285,Kamara,284,False,285,17,0.0,0,0,0,617,283,629,73.0,275,20,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,50.0,0,0.0,343,214,136,632,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,d,623,2024-07-17T13:30:04.954579Z,628,0.0,0.0,0,0,0,224,650,0,0,0,Lack of match fitness - 50% chance of playing,,0,0,0,0,0.00,0,282
43,Kaine Kesler-Hayden,40,DEF,Aston Villa,0.0,474,207,0.0,0.0,0.0,158,Kesler-Hayden,160,False,160,36,0.0,0,0,0,406,160,467,,135,0,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,0.0,0,0.0,1321,632,190,471,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,u,408,2024-08-09T11:14:21.895838Z,451,0.0,0.0,0,0,0,0,620,0,0,0,Has joined Preston North End for the rest of the season,,0,0,0,0,0.00,0,138
44,Ezri Konsa Ngoyo,45,DEF,Aston Villa,2.8,165,11,117.0,0.0,1.47,52,Konsa,46,False,41,84421,46.0,1,0,1,70,40,110,241.0,14,7449,0,12.9,3.8,0.28,0,,0.01,0,38.0,1,0.8,0.07,0,3.7,75.0,1,0.0,679272,374,62,151,9,6.52,,3.7,1.14,1.06,0.06,0.05,20.1,d,142,2024-10-06T22:00:07.014898Z,194,2.4,,0,85,7,764115,30,0,0,17,Hamstring injury - 75% chance of playing,,0,0,0,551,0.35,0,25
45,Ian Maatsen,48,DEF,Aston Villa,1.0,358,54,27.0,0.0,0.76,124,Maatsen,19,False,79,7390,14.0,0,0,0,237,106,295,152.0,75,2333,0,1.9,1.5,0.01,0,,0.49,0,79.1,0,0.2,0.64,0,1.0,,1,0.0,229306,330,39,238,1,1.89,,1.0,0.0,1.44,0.5,0.01,12.0,a,244,,104,1.0,,0,24,0,57523,143,0,0,7,,,-2,0,2,118,0.65,0,72
46,Filip Marschall,40,GKP,Aston Villa,0.0,470,69,0.0,0.0,0.0,51,Marschall,31,False,51,1,0.0,0,0,0,402,51,463,,45,0,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,0.0,0,0.0,54,628,63,467,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,u,404,2024-07-18T09:50:40.812599Z,447,0.0,0.0,0,0,0,0,663,0,0,0,Has joined MK Dons for the rest of the season,,0,0,0,0,0.00,0,25
47,Emiliano Martínez Romero,50,GKP,Aston Villa,4.7,125,4,142.4,2.43,1.29,18,Martinez,65,False,16,18653,0.0,2,0,0,45,16,68,10.0,4,34104,0,13.0,4.0,0.00,1,,0.0,0,0.0,0,0.9,0.00,0,4.7,,9,0.14,612914,193,7,213,9,6.89,,4.7,1.0,0.98,0.0,0.0,14.3,a,619,,624,2.9,,0,81,7,585486,29,17,1,20,,,0,0,0,630,0.00,0,64
48,John McGinn,52,MID,Aston Villa,0.0,229,70,12.2,0.0,1.29,102,McGinn,124,False,137,7187,36.0,0,0,0,342,169,351,243.0,176,58,0,0.8,1.7,0.51,1,,0.14,1,39.9,0,0.1,0.54,0,0.3,0.0,0,0.26,187319,175,109,268,5,3.41,3.0,0.0,1.29,0.88,0.27,0.13,8.8,i,173,2024-09-21T20:30:05.276348Z,188,1.8,0.0,-1,45,5,43712,212,0,1,9,Hamstring injury - Unknown return date,,-3,0,3,349,1.05,0,101
49,Tyrone Mings,44,DEF,Aston Villa,0.0,521,188,0.0,0.0,0.0,194,Mings,194,False,195,142,0.0,0,0,0,470,195,513,241.0,183,84,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,50.0,0,0.0,5284,505,108,517,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,d,469,2024-08-05T15:00:04.309727Z,500,0.0,0.0,0,0,0,979,530,0,0,0,Lack of match fitness - 50% chance of playing,,-1,0,1,0,0.00,0,182
